,monster_name,monster_level,action_term,action_name,damage_type,attack_range,action_cost,attack_type,damage_dice_calculations,attack_roll_mod,spell_DC,spell_slot_level,casting time,target,area,duration,saving throw,spell attack,conditions
3011,afflicted irnakurse,8,Attack 1,jaws,['piercing'],5,1,melee,"[['2', '12', '11']]",20.0,0,0,0,0,0,0,0,0,0
3012,afflicted irnakurse,8,Attack 2,tentacle,['slashing'],5,1,melee,"[['2', '8', '11']]",20.0,0,0,0,0,0,0,0,0,0
3013,aphaliel,8,Attack 1,flaming,"['good', 'fire', 'slashing', 'force']",5,1,melee,"[['2', '6', '8'], ['1', '6', 0], ['1', '6', 0]]",20.0,0,0,0,0,0,0,0,0,0
3014,barcumbuk,8,Attack 1,flaming,"['bludgeoning', 'evil', 'fire']",5,1,melee,"[['2', '8', '6'], ['1', '6', 0], ['1', '6', 0]]",20.0,0,0,0,0,0,0,0,0,0
3015,barcumbuk,8,Attack 2,flaming,"['bludgeoning', 'evil', 'fire']",20,1,range,"[['1', '6', '6'], ['1', '6', 0], ['1', '6', 0]]",19.0,0,0,0,0,0,0,0,0,0
3018,casino bouncer,8,Attack 1,fist,['bludgeoning'],5,1,melee,"[['2', '6', '6']]",20.0,0,0,0,0,0,0,0,0,0
3019,casino bouncer,8,Attack 2,sap,['bludgeoning'],5,1,melee,"[['2', '6', '6']]",21.0,0,0,0,0,0,0,0,0,0
3020,celestial menagerie bruiser,8,Attack 1,greatclub,['bludgeoning'],5,1,melee,"[['2', '10', '10']]",20.0,0,0,0,0,0,0,0,0,0
3021,celestial menagerie bruiser,8,Attack 2,fist,['bludgeoning'],5,1,melee,"[['1', '4', '8']]",19.0,0,0,0,0,0,0,0,0,0
3022,celestial menagerie bruiser,8,Attack 3,dagger,['piercing'],10,1,range,"[['1', '4', '8']]",15.0,0,0,0,0,0,0,0,0,0
3024,chafkhem,8,Attack 1,fist,['bludgeoning'],5,1,melee,"[['2', '6', '7']]",19.0,0,0,0,0,0,0,0,0,0
3025,chafkhem,8,Attack 2,staff,['bludgeoning'],5,1,melee,"[['1', '4', '7']]",18.0,0,0,0,0,0,0,0,0,0
3026,darricus stallit,8,Attack 1,bastard,['slashing'],5,1,melee,"[['2', '8', '9']]",21.0,0,0,0,0,0,0,0,0,0
3027,darricus stallit,8,Attack 2,composite,['piercing'],60,2,range,"[['1', '6', '6']]",16.0,0,0,0,0,0,0,0,0,0
3028,fayati alummur,8,Attack 1,rapier,['piercing'],5,1,melee,"[['2', '6', '5']]",20.0,0,0,0,0,0,0,0,0,0
3029,fayati alummur,8,Attack 2,main-gauche,['piercing'],5,1,melee,"[['2', '4', '5']]",20.0,0,0,0,0,0,0,0,0,0
3030,fayati alummur,8,Attack 3,dagger,['piercing'],5,1,melee,"[['1', '4', '5']]",20.0,0,0,0,0,0,0,0,0,0
3032,fayati alummur,8,Attack 5,dagger,['piercing'],10,1,range,"[['1', '4', '5']]",20.0,0,0,0,0,0,0,0,0,0
3035,gerhard pendergrast,8,Attack 1,whip,['slashing'],5,1,melee,"[['2', '4', '6']]",19.0,0,0,0,0,0,0,0,0,0
3036,gerhard pendergrast,8,Attack 2,fist,['bludgeoning'],5,1,melee,"[['1', '4', '6']]",18.0,0,0,0,0,0,0,0,0,0
3037,gerhard pendergrast,8,Attack 3,dagger,['piercing'],5,1,melee,"[['1', '4', '6']]",18.0,0,0,0,0,0,0,0,0,0
3038,gerhard pendergrast,8,Attack 4,dagger,['piercing'],10,1,range,"[['1', '4', '6']]",18.0,0,0,0,0,0,0,0,0,0
3040,giant joro spider,8,Attack 1,fangs,['piercing'],5,1,melee,"[['2', '10', '8']]",20.0,0,0,0,0,0,0,0,0,0
3042,guardian of the faithful,8,Attack 1,stone,['bludgeoning'],5,1,melee,"[['2', '12', '8']]",21.0,0,0,0,0,0,0,0,0,0
3043,guardian of the faithful,8,Attack 2,flaming,"['bludgeoning', 'fire']",80,1,range,"[['2', '6', '8'], ['2', '8', '4']]",14.0,0,0,0,0,0,0,0,0,0
3044,hezle,8,Attack 1,dagger,['piercing'],5,1,melee,"[['1', '4', '2']]",19.0,0,0,0,0,0,0,0,0,0
3046,hezle,8,Attack 3,crossbow,['piercing'],120,2,range,"[['1', '6', '3']]",20.0,0,0,0,0,0,0,0,0,0
3047,hezle,8,Attack 4,dagger,['piercing'],10,1,range,"[['1', '4', '2']]",19.0,0,0,0,0,0,0,0,0,0
3049,jafaki,8,Attack 1,bite,['piercing'],5,1,melee,"[['2', '6', '5']]",18.0,0,0,0,0,0,0,0,0,0
3050,jafaki,8,Attack 2,rapier,['piercing'],5,1,melee,"[['2', '6', '5']]",19.0,0,0,0,0,0,0,0,0,0
3051,jafaki,8,Attack 3,acid,['acid'],20,1,range,"[['2', '6', '2']]",19.0,0,0,0,0,0,0,0,0,0
3052,jafaki,8,Attack 4,bottled,['electricity'],20,1,range,"[['2', '6', '2']]",19.0,0,0,0,0,0,0,0,0,0
3053,jahsi,8,Attack 1,disrupting,"['cold', 'piercing']",5,1,melee,"[['1', '4', '7'], ['1', '6', 0]]",19.0,0,0,0,0,0,0,0,0,0
3054,jahsi,8,Attack 2,silver,['piercing'],5,1,melee,"[['2', '4', '7']]",19.0,0,0,0,0,0,0,0,0,0
3055,jahsi,8,Attack 3,longbow,['piercing'],100,2,range,"[['1', '8', '3']]",19.0,0,0,0,0,0,0,0,0,0
3056,jahsi,8,Attack 4,disrupting,"['cold', 'piercing']",10,1,range,"[['1', '4', '7'], ['1', '6', 0]]",19.0,0,0,0,0,0,0,0,0,0
3058,jahsi,8,Attack 6,silver,['piercing'],10,1,range,"[['2', '4', '7']]",19.0,0,0,0,0,0,0,0,0,0
3060,kelda halrig,8,Attack 1,warhammer,['bludgeoning'],5,1,melee,"[['2', '8', '13']]",20.0,0,0,0,0,0,0,0,0,0
3061,kelda halrig,8,Attack 2,light,['bludgeoning'],20,1,range,"[['2', '6', '8']]",20.0,0,0,0,0,0,0,0,0,0
3063,manifestation of qxal,8,Attack 1,proboscis,['piercing'],5,1,melee,"[['2', '12', '9']]",20.0,0,0,0,0,0,0,0,0,0
3064,manifestation of qxal,8,Attack 2,tendril,"['slashing', 'bleed']",5,1,melee,"[['2', '10', '6'], ['1', '4', 0]]",20.0,0,0,0,0,0,0,0,0,0
3065,manifestation of qxal,8,Attack 3,thorn,"['piercing', 'bleed']",60,1,range,"[['2', '4', '6'], ['1', '4', 0]]",20.0,0,0,0,0,0,0,0,0,0
3066,murschen,8,Attack 1,fist,['bludgeoning'],5,1,melee,"[['2', '6', '7']]",20.0,0,0,0,0,0,0,0,0,0
3067,murschen,8,Attack 2,red,['slashing'],5,1,melee,"[['2', '10', '7']]",20.0,0,0,0,0,0,0,0,0,0
3068,murschen,8,Attack 3,shuriken,['piercing'],20,1,range,"[['1', '4', '7']]",20.0,0,0,0,0,0,0,0,0,0
3070,pin tingwheely,8,Attack 1,shortsword,['piercing'],5,1,melee,"[['1', '6', '10']]",18.0,0,0,0,0,0,0,0,0,0
3071,pin tingwheely,8,Attack 2,longbow,['piercing'],100,1,range,"[['2', '6', '10']]",19.0,0,0,0,0,0,0,0,0,0
3072,poison eater,8,Attack 1,maul,['bludgeoning'],5,1,melee,"[['1', '12', '6']]",19.0,0,0,0,0,0,0,0,0,0
3073,poison eater,8,Attack 2,dagger,['piercing'],5,1,melee,"[['1', '4', '6']]",18.0,0,0,0,0,0,0,0,0,0
3074,poison eater,8,Attack 3,dagger,['piercing'],10,1,range,"[['1', '4', '8']]",17.0,0,0,0,0,0,0,0,0,0
3076,racharak,8,Attack 1,jaws,"['fire', 'piercing']",5,1,melee,"[['2', '8', '9'], ['2', '4', 0]]",20.0,0,0,0,0,0,0,0,0,0
3077,racharak,8,Attack 2,claw,['slashing'],5,1,melee,"[['2', '8', '9']]",20.0,0,0,0,0,0,0,0,0,0
3078,racharak,8,Attack 3,tail,['slashing'],5,1,melee,"[['2', '8', '9']]",20.0,0,0,0,0,0,0,0,0,0
3079,racharak,8,Attack 4,thrown,['bludgeoning'],20,1,range,"[['2', '6', '9']]",17.0,0,0,0,0,0,0,0,0,0
3082,scarlet triad poisoners,8,Attack 1,shortsword,['slashing'],5,1,melee,"[['1', '6', '10']]",19.0,0,0,0,0,0,0,0,0,0
3083,scarlet triad poisoners,8,Attack 2,crossbow,['piercing'],5,2,range,"[['2', '8', '6']]",19.0,0,0,0,0,0,0,0,0,0
3084,skinsaw seamer,8,Attack 1,war,['piercing'],5,1,melee,"[['1', '4', '7']]",20.0,0,0,0,0,0,0,0,0,0
3085,skinsaw seamer,8,Attack 2,shortsword,['piercing'],5,1,melee,"[['2', '6', '7']]",18.0,0,0,0,0,0,0,0,0,0
3086,skinsaw seamer,8,Attack 3,dagger,['piercing'],10,1,range,"[['1', '4', '7']]",20.0,0,0,0,0,0,0,0,0,0
3088,spawn of dahak,8,Attack 1,warhammer,"['bludgeoning', 'fire']",5,1,melee,"[['2', '8', '9'], ['1', '6', 0]]",21.0,0,0,0,0,0,0,0,0,0
3089,spawn of dahak,8,Attack 2,jaws,"['fire', 'piercing']",5,1,melee,"[['2', '8', '9'], ['2', '4', 0]]",20.0,0,0,0,0,0,0,0,0,0
3090,spawn of dahak,8,Attack 3,claw,['slashing'],5,1,melee,"[['2', '8', '9']]",20.0,0,0,0,0,0,0,0,0,0
3091,spawn of dahak,8,Attack 4,tail,['slashing'],5,1,melee,"[['2', '8', '9']]",20.0,0,0,0,0,0,0,0,0,0
3092,spawn of dahak,8,Attack 5,thrown,['bludgeoning'],20,1,range,"[['2', '6', '9']]",17.0,0,0,0,0,0,0,0,0,0
3095,strak,8,Attack 1,orc,"['slashing', 'force']",5,1,melee,"[['2', '8', '10']]",20.0,0,0,0,0,0,0,0,0,0
3096,strak,8,Attack 2,moderate,['acid'],30,1,range,"[['2', '6', 0]]",19.0,0,0,0,0,0,0,0,0,0
3097,strak,8,Attack 3,moderate,['fire'],30,1,range,"[['2', '8', 0]]",19.0,0,0,0,0,0,0,0,0,0
3098,synthetic khismar,8,Attack 1,storm-fist,"['bludgeoning', 'force', 'electricity']",5,1,melee,"[['2', '6', '6'], ['2', '6', 0]]",20.0,0,0,0,0,0,0,0,0,0
3099,synthetic khismar,8,Attack 2,electrical,['electricity'],30,1,range,"[['5', '6', 0]]",16.0,0,0,0,0,0,0,0,0,0
3100,the ascendant,8,Attack 1,flaming,"['bludgeoning', 'evil', 'fire']",5,1,melee,"[['2', '6', '9'], ['1', '6', 0], ['1', '6', 0]]",20.0,0,0,0,0,0,0,0,0,0
3101,the ascendant,8,Attack 2,hoof,"['bludgeoning', 'evil']",5,1,melee,"[['2', '6', '8'], ['1', '6', 0]]",17.0,0,0,0,0,0,0,0,0,0
3102,the ascendant,8,Attack 3,pinions,"['piercing', 'evil']",30,1,range,"[['2', '6', '4'], ['1', '6', 0]]",17.0,0,0,0,0,0,0,0,0,0
3103,ulthadar,8,Attack 1,ghostly,[],5,1,melee,"[['2', '6', '10']]",2.0,0,0,0,0,0,0,0,0,0
3104,ysondkhelir,8,Attack 1,kukri,"['slashing', 'bleed']",5,1,melee,"[['2', '6', '6'], ['1', '6', 0]]",18.0,0,0,0,0,0,0,0,0,0
3105,ysondkhelir,8,Attack 2,jaws,['piercing'],5,1,melee,"[['2', '10', '6']]",17.0,0,0,0,0,0,0,0,0,0
3106,gorsalthith,9,Attack 1,fist,['bludgeoning'],5,1,melee,"[['2', '10', '8']]",21.0,0,0,0,0,0,0,0,0,0
3107,jinae,9,Attack 1,sickle,['slashing'],5,1,melee,"[['2', '4', '8']]",20.0,0,0,0,0,0,0,0,0,0
3108,jinae,9,Attack 2,moderate,['acid'],20,1,range,"[['2', '6', 0]]",22.0,0,0,0,0,0,0,0,0,0
3109,jinae,9,Attack 3,moderate,['fire'],20,1,range,"[['2', '8', 0]]",22.0,0,0,0,0,0,0,0,0,0
3110,tonla,9,Attack 1,sickle,['slashing'],5,1,melee,"[['2', '4', '8']]",20.0,0,0,0,0,0,0,0,0,0
3111,tonla,9,Attack 2,moderate,['acid'],20,1,range,"[['2', '6', 0]]",22.0,0,0,0,0,0,0,0,0,0
3112,tonla,9,Attack 3,moderate,['fire'],20,1,range,"[['2', '8', 0]]",22.0,0,0,0,0,0,0,0,0,0
3113,vault guard,9,Attack 1,fist,['bludgeoning'],5,1,melee,"[['2', '6', '8']]",22.0,0,0,0,0,0,0,0,0,0
3114,vault guard,9,Attack 2,sap,['bludgeoning'],5,1,melee,"[['2', '6', '8']]",23.0,0,0,0,0,0,0,0,0,0
3115,venom mage,9,Attack 1,dagger,['piercing'],5,1,melee,"[['1', '4', '6']]",17.0,0,0,0,0,0,0,0,0,0
3116,venom mage,9,Attack 2,poisoneres,['bludgeoning'],5,1,melee,"[['1', '6', '4']]",17.0,0,0,0,0,0,0,0,0,0
3117,venom mage,9,Attack 3,dagger,['piercing'],10,1,range,"[['1', '4', '6']]",19.0,0,0,0,0,0,0,0,0,0
3119,violetta,9,Attack 1,war,['piercing'],5,1,melee,"[['1', '4', '9']]",22.0,0,0,0,0,0,0,0,0,0
3120,violetta,9,Attack 2,shortsword,['piercing'],5,1,melee,"[['2', '6', '9']]",20.0,0,0,0,0,0,0,0,0,0
3121,violetta,9,Attack 3,dagger,['piercing'],10,1,range,"[['1', '4', '9']]",22.0,0,0,0,0,0,0,0,0,0
3123,wurts,9,Attack 1,sickle,['slashing'],5,1,melee,"[['2', '4', '8']]",20.0,0,0,0,0,0,0,0,0,0
3124,wurts,9,Attack 2,moderate,['acid'],20,1,range,"[['2', '6', 0]]",22.0,0,0,0,0,0,0,0,0,0
3125,wurts,9,Attack 3,moderate,['fire'],20,1,range,"[['2', '8', 0]]",22.0,0,0,0,0,0,0,0,0,0
3126,yvelle,9,Attack 1,sickle,['slashing'],5,1,melee,"[['2', '4', '8']]",20.0,0,0,0,0,0,0,0,0,0
3127,yvelle,9,Attack 2,moderate,['acid'],20,1,range,"[['2', '6', 0]]",22.0,0,0,0,0,0,0,0,0,0
3128,yvelle,9,Attack 3,moderate,['fire'],20,1,range,"[['2', '8', 0]]",22.0,0,0,0,0,0,0,0,0,0
3129,belmazog,9,Attack 1,jaws,"['piercing', 'acid']",5,1,melee,"[['2', '8', '11'], ['1', '12', 0]]",20.0,0,0,0,0,0,0,0,0,0
3130,belmazog,9,Attack 2,claw,['slashing'],5,1,melee,"[['2', '8', '11']]",20.0,0,0,0,0,0,0,0,0,0
3131,belmazog,9,Attack 3,tongue,['acid'],5,1,melee,"[['2', '6', '11']]",20.0,0,0,0,0,0,0,0,0,0
3132,bhazrade and klathor,9,Attack 1,staff,['bludgeoning'],5,1,melee,"[['1', '4', '4']]",19.0,0,0,0,0,0,0,0,0,0
3133,carnotaur,9,Attack 1,jaws,['piercing'],5,1,melee,"[['2', '12', '10']]",20.0,0,0,0,0,0,0,0,0,0
3134,carnotaur,9,Attack 2,foot,['bludgeoning'],5,1,melee,"[['2', '10', '10']]",20.0,0,0,0,0,0,0,0,0,0
3135,chalky,9,Attack 1,syringe,['piercing'],5,1,melee,"[['2', '10', '6']]",22.0,0,0,0,0,0,0,0,0,0
3136,cursebreaker,9,Attack 1,fist,['bludgeoning'],5,1,melee,"[['2', '10', '10']]",21.0,0,0,0,0,0,0,0,0,0
3137,diobel sweeper chemist,9,Attack 1,sickle,['slashing'],5,1,melee,"[['2', '4', '8']]",20.0,0,0,0,0,0,0,0,0,0
3138,diobel sweeper chemist,9,Attack 2,moderate,['acid'],20,1,range,"[['2', '6', 0]]",22.0,0,0,0,0,0,0,0,0,0
3139,diobel sweeper chemist,9,Attack 3,moderate,['fire'],20,1,range,"[['2', '8', 0]]",22.0,0,0,0,0,0,0,0,0,0
3140,dulac,9,Attack 1,war,['bludgeoning'],5,1,melee,"[['2', '10', '8']]",21.0,0,0,0,0,0,0,0,0,0
3142,elder child of belcorra,9,Attack 1,fist,['bludgeoning'],5,1,melee,"[['2', '10', '8']]",21.0,0,0,0,0,0,0,0,0,0
3143,frefferth,9,Attack 1,Alietta,['slashing'],5,1,melee,"[['2', '8', '12']]",21.0,0,0,0,0,0,0,0,0,0
3144,frefferth,9,Attack 2,spear,['piercing'],5,1,melee,"[['1', '6', '12']]",20.0,0,0,0,0,0,0,0,0,0
3146,frefferth,9,Attack 4,spear,['piercing'],20,1,range,"[['1', '6', '12']]",19.0,0,0,0,0,0,0,0,0,0
3148,heuberk thropp,9,Attack 1,mace,['bludgeoning'],5,1,melee,"[['2', '6', '9']]",19.0,0,0,0,0,0,0,0,0,0
3149,heuberk thropp,9,Attack 2,dagger,['piercing'],5,1,melee,"[['1', '4', '9']]",18.0,0,0,0,0,0,0,0,0,0
3150,heuberk thropp,9,Attack 3,dagger,['piercing'],10,1,range,"[['1', '4', '9']]",17.0,0,0,0,0,0,0,0,0,0
3152,mishka the bear,9,Attack 1,jaws,['piercing'],5,1,melee,"[['2', '12', '10']]",21.0,0,0,0,0,0,0,0,0,0
3153,mishka the bear,9,Attack 2,claw,['slashing'],5,1,melee,"[['2', '8', '10']]",21.0,0,0,0,0,0,0,0,0,0
3154,mishka the bear,9,Attack 3,mirror,['fire'],120,1,range,"[['2', '12', '17']]",19.0,0,0,0,0,0,0,0,0,0
3155,morgrat and fillick,9,Attack 1,dagger,['piercing'],5,1,melee,"[['1', '4', '6']]",17.0,0,0,0,0,0,0,0,0,0
3156,morgrat and fillick,9,Attack 2,poisoneres,['bludgeoning'],5,1,melee,"[['1', '6', '4']]",17.0,0,0,0,0,0,0,0,0,0
3157,morgrat and fillick,9,Attack 3,dagger,['piercing'],10,1,range,"[['1', '4', '6']]",19.0,0,0,0,0,0,0,0,0,0
3159,otari ilvashti,9,Attack 1,ghostly,[],5,1,melee,"[['3', '6', '6']]",19.0,0,0,0,0,0,0,0,0,0
3161,padli,9,Attack 1,dagger,['piercing'],5,1,melee,"[['1', '4', '7']]",15.0,0,0,0,0,0,0,0,0,0
3163,paga nikohian,9,Attack 1,slime,['slashing'],5,1,melee,"[['2', '4', '10']]",21.0,0,0,0,0,0,0,0,0,0
3164,paga nikohian,9,Attack 2,dagger,['piercing'],5,1,melee,"[['1', '4', '10']]",20.0,0,0,0,0,0,0,0,0,0
3166,paga nikohian,9,Attack 4,dagger,['piercing'],10,1,range,"[['1', '4', '10']]",20.0,0,0,0,0,0,0,0,0,0
3168,"qxal, the thorned monarch",9,Attack 1,proboscis,"['slashing', 'bleed']",5,1,melee,"[['2', '12', '9'], ['1', '4', 0]]",21.0,0,0,0,0,0,0,0,0,0
3169,"qxal, the thorned monarch",9,Attack 2,tendril,"['slashing', 'bleed']",5,1,melee,"[['2', '10', '9'], ['1', '4', 0]]",21.0,0,0,0,0,0,0,0,0,0
3170,"qxal, the thorned monarch",9,Attack 3,thorn,"['piercing', 'bleed']",60,1,range,"[['2', '4', '9'], ['1', '4', 0]]",21.0,0,0,0,0,0,0,0,0,0
3171,sacuishu,9,Attack 1,shock,['electricity'],5,1,melee,"[['2', '8', '8']]",21.0,0,0,0,0,0,0,0,0,0
3172,shikwashim mercenary,9,Attack 1,scimitar,"['slashing', 'force']",5,1,melee,"[['2', '6', '10']]",20.0,0,0,0,0,0,0,0,0,0
3173,shikwashim mercenary,9,Attack 2,jaws,['piercing'],5,1,melee,"[['1', '6', '10']]",19.0,0,0,0,0,0,0,0,0,0
3174,shikwashim mercenary,9,Attack 3,tail,['bludgeoning'],5,1,melee,"[['1', '4', '10']]",19.0,0,0,0,0,0,0,0,0,0
3175,shikwashim mercenary,9,Attack 4,javelin,['piercing'],30,1,range,"[['1', '6', '10']]",19.0,0,0,0,0,0,0,0,0,0
3177,urevian,9,Attack 1,diabolic,"['piercing', 'evil']",5,1,melee,"[['2', '6', '9'], ['1', '6', 0]]",21.0,0,0,0,0,0,0,0,0,0
3178,urevian,9,Attack 2,horn,['piercing'],5,1,melee,"[['3', '10', '9']]",20.0,0,0,0,0,0,0,0,0,0
3179,witchfire warden,9,Attack 1,witchflame,"['fire', 'evil']",5,1,melee,"[['3', '6', 0], ['3', '6', 0]]",21.0,0,0,0,0,0,0,0,0,0
3180,witchfire warden,9,Attack 2,witchflame,"['fire', 'evil']",100,1,range,"[['2', '6', 0], ['2', '6', 0]]",21.0,0,0,0,0,0,0,0,0,0
3181,alchemist aspirant,10,Attack 1,rapier,['piercing'],5,1,melee,"[['2', '6', '8']]",21.0,0,0,0,0,0,0,0,0,0
3183,ivena,10,Attack 1,greatclub,['bludgeoning'],5,1,melee,"[['2', '10', '11']]",22.0,0,0,0,0,0,0,0,0,0
3184,ivena,10,Attack 2,kick,['bludgeoning'],5,1,melee,"[['1', '8', '11']]",21.0,0,0,0,0,0,0,0,0,0
3185,ivena,10,Attack 3,shortbow,['piercing'],60,2,range,"[['2', '6', '8']]",21.0,0,0,0,0,0,0,0,0,0
3186,lurb,10,Attack 1,greatclub,['bludgeoning'],5,1,melee,"[['2', '10', '11']]",22.0,0,0,0,0,0,0,0,0,0
3187,lurb,10,Attack 2,kick,['bludgeoning'],5,1,melee,"[['1', '8', '11']]",21.0,0,0,0,0,0,0,0,0,0
3188,lurb,10,Attack 3,shortbow,['piercing'],60,2,range,"[['2', '6', '8']]",21.0,0,0,0,0,0,0,0,0,0
3189,one-eye amnin,10,Attack 1,greatclub,['bludgeoning'],5,1,melee,"[['2', '10', '11']]",22.0,0,0,0,0,0,0,0,0,0
3190,one-eye amnin,10,Attack 2,kick,['bludgeoning'],5,1,melee,"[['1', '8', '11']]",21.0,0,0,0,0,0,0,0,0,0
3191,one-eye amnin,10,Attack 3,shortbow,['piercing'],60,2,range,"[['2', '6', '8']]",21.0,0,0,0,0,0,0,0,0,0
3192,runkrunk,10,Attack 1,fist,['bludgeoning'],5,1,melee,"[['2', '10', '12']]",24.0,0,0,0,0,0,0,0,0,0
3193,adrivallo,10,Attack 1,dagger,['piercing'],5,1,melee,"[['1', '4', '11']]",23.0,0,0,0,0,0,0,0,0,0
3194,adrivallo,10,Attack 2,dagger,['piercing'],10,1,range,"[['1', '4', '11']]",23.0,0,0,0,0,0,0,0,0,0
3196,andera paldreen,10,Attack 1,+1,"['slashing', 'force']",5,1,melee,"[['2', '10', '7']]",1.0,0,0,0,0,0,0,0,0,0
3197,darklands alchemical golem,10,Attack 1,syringe,['piercing'],5,1,melee,"[['2', '10', '8']]",24.0,0,0,0,0,0,0,0,0,0
3200,japu thalenger,10,Attack 1,rapier,['piercing'],5,1,melee,"[['2', '6', '8']]",21.0,0,0,0,0,0,0,0,0,0
3202,khurfel,10,Attack 1,rhoka,['slashing'],5,1,melee,"[['2', '8', '11']]",24.0,0,0,0,0,0,0,0,0,0
3203,khurfel,10,Attack 2,jaws,['piercing'],5,1,melee,"[['2', '8', '11']]",23.0,0,0,0,0,0,0,0,0,0
3204,khurfel,10,Attack 3,heavy,['piercing'],120,2,range,"[['1', '10', 0]]",22.0,0,0,0,0,0,0,0,0,0
3205,kyrion,10,Attack 1,jaws,"['fire', 'piercing']",5,1,melee,"[['2', '12', '12'], ['2', '6', 0]]",23.0,0,0,0,0,0,0,0,0,0
3206,kyrion,10,Attack 2,claw,['slashing'],5,1,melee,"[['2', '10', '12']]",23.0,0,0,0,0,0,0,0,0,0
3207,kyrion,10,Attack 3,tail,['slashing'],5,1,melee,"[['2', '12', '10']]",21.0,0,0,0,0,0,0,0,0,0
3208,kyrion,10,Attack 4,wing,['slashing'],5,1,melee,"[['1', '10', '10']]",21.0,0,0,0,0,0,0,0,0,0
3209,maurrisa jonne,10,Attack 1,fist,['bludgeoning'],5,1,melee,"[['2', '6', '10']]",22.0,0,0,0,0,0,0,0,0,0
3210,mialari docur,10,Attack 1,rapier,['piercing'],5,1,melee,"[['2', '6', '11']]",22.0,0,0,0,0,0,0,0,0,0
3211,mialari docur,10,Attack 2,hand,['piercing'],5,1,range,"[['1', '6', '6']]",22.0,0,0,0,0,0,0,0,0,0
3214,rusty mae,10,Attack 1,claws,"['cold', 'slashing']",5,1,melee,"[['2', '8', '13']]",23.0,0,0,0,0,0,0,0,0,0
3215,scarlet triad bruiser,10,Attack 1,greatclub,['bludgeoning'],5,1,melee,"[['2', '10', '11']]",22.0,0,0,0,0,0,0,0,0,0
3216,scarlet triad bruiser,10,Attack 2,kick,['bludgeoning'],5,1,melee,"[['1', '8', '11']]",21.0,0,0,0,0,0,0,0,0,0
3217,scarlet triad bruiser,10,Attack 3,shortbow,['piercing'],60,2,range,"[['2', '6', '8']]",21.0,0,0,0,0,0,0,0,0,0
3218,tyrroicese,10,Attack 1,pseudopod,"['bludgeoning', 'acid']",5,1,melee,"[['2', '10', '13'], ['1', '6', 0]]",23.0,0,0,0,0,0,0,0,0,0
3219,urthagul,10,Attack 1,jaws,['piercing'],5,1,melee,"[['2', '12', '13']]",23.0,0,0,0,0,0,0,0,0,0
3220,urthagul,10,Attack 2,claw,['slashing'],5,1,melee,"[['2', '8', '13']]",23.0,0,0,0,0,0,0,0,0,0
3221,wrent dicaspiron,10,Attack 1,cleaver,"['slashing', 'force']",5,1,melee,"[['2', '8', '8']]",24.0,0,0,0,0,0,0,0,0,0
3222,wrent dicaspiron,10,Attack 2,spiked,['piercing'],5,1,melee,"[['2', '8', '6']]",22.0,0,0,0,0,0,0,0,0,0
3223,zeal-damned ghoul,10,Attack 1,jaws,"['piercing', 'chaotic']",5,1,melee,"[['2', '6', '8'], ['1', '6', 0], ['1', '6', 0]]",22.0,0,0,0,0,0,0,0,0,0
3224,zeal-damned ghoul,10,Attack 2,claws,"['slashing', 'chaotic']",5,1,melee,"[['2', '4', '8'], ['1', '6', 0], ['1', '6', 0]]",22.0,0,0,0,0,0,0,0,0,0
3225,annikia,11,Attack 1,dagger,['piercing'],5,1,melee,"[['1', '4', '9']]",22.0,0,0,0,0,0,0,0,0,0
3226,annikia,11,Attack 2,shortsword,['piercing'],5,1,melee,"[['2', '6', '9']]",23.0,0,0,0,0,0,0,0,0,0
3227,annikia,11,Attack 3,dagger,['piercing'],10,1,range,"[['1', '4', '9']]",22.0,0,0,0,0,0,0,0,0,0
3230,avery collestin,11,Attack 1,dagger,['piercing'],5,1,melee,"[['1', '4', '9']]",22.0,0,0,0,0,0,0,0,0,0
3231,avery collestin,11,Attack 2,shortsword,['piercing'],5,1,melee,"[['2', '6', '9']]",23.0,0,0,0,0,0,0,0,0,0
3232,avery collestin,11,Attack 3,dagger,['piercing'],10,1,range,"[['1', '4', '9']]",22.0,0,0,0,0,0,0,0,0,0
3235,horbus sunfallow,11,Attack 1,dagger,['piercing'],5,1,melee,"[['1', '4', '9']]",22.0,0,0,0,0,0,0,0,0,0
3236,horbus sunfallow,11,Attack 2,shortsword,['piercing'],5,1,melee,"[['2', '6', '9']]",23.0,0,0,0,0,0,0,0,0,0
3237,horbus sunfallow,11,Attack 3,dagger,['piercing'],10,1,range,"[['1', '4', '9']]",22.0,0,0,0,0,0,0,0,0,0
3240,olphus correnish,11,Attack 1,dagger,['piercing'],5,1,melee,"[['1', '4', '9']]",22.0,0,0,0,0,0,0,0,0,0
3241,olphus correnish,11,Attack 2,shortsword,['piercing'],5,1,melee,"[['2', '6', '9']]",23.0,0,0,0,0,0,0,0,0,0
3242,olphus correnish,11,Attack 3,dagger,['piercing'],10,1,range,"[['1', '4', '9']]",22.0,0,0,0,0,0,0,0,0,0
3245,shadow guards,11,Attack 1,longsword,['slashing'],5,1,melee,"[['2', '8', '10']]",24.0,0,0,0,0,0,0,0,0,0
3246,shadow guards,11,Attack 2,crossbow,['piercing'],120,2,range,"[['2', '8', '6']]",23.0,0,0,0,0,0,0,0,0,0
3247,shadow guards,11,Attack 3,thunderstone,['sonic'],30,1,range,"[['3', '4', 0]]",22.0,0,0,0,0,0,0,0,0,0
